message,label,source,conversation_id,turn_idx,event_type,fraud_type
"Buenas tardes, le comunicamos del departamento de seguridad de Santander.",fraudulent,des_fraud,0,0,contact_init,phishing_bancario
Su cuenta en Santander ha sido suspendida por actividad inusual.,fraudulent,des_fraud,0,1,problem_announce,phishing_bancario
"Si no completamos la verificación en las próximas 24 horas, el banco deberá emitir una nueva tarjeta con demora de 15 días.",fraudulent,des_fraud,0,2,urgency_inject,phishing_bancario
Ingrese su NIP en el enlace banco-online.net/verify para validar su identidad.,fraudulent,des_fraud,0,3,credential_request,phishing_bancario
"Si no actúa en las próximas 24 horas, procederemos al bloqueo permanente e irreversible de su cuenta en Santander.",fraudulent,des_fraud,0,4,threat_escalate,phishing_bancario
En cuanto confirme su NIP en banco-online.net/verify su cuenta quedará reactivada en minutos.,fraudulent,des_fraud,0,5,recovery_offer,phishing_bancario
"Buenas tardes, le comunicamos de Hacienda sobre su situación fiscal.",fraudulent,des_fraud,1,0,contact_init,sat_devolucion
El trámite que le informamos está respaldado por la resolución miscelánea fiscal vigente.,fraudulent,des_fraud,1,1,trust_build,sat_devolucion
"Detectamos que su declaración tiene un saldo a favor de $8,000 pesos sin reclamar.",fraudulent,des_fraud,1,2,problem_announce,sat_devolucion
La devolución expira en 48 horas hábiles si no completa el trámite.,fraudulent,des_fraud,1,3,urgency_inject,sat_devolucion
Para procesar su devolución necesito confirmar su contraseña del portal SAT.,fraudulent,des_fraud,1,4,credential_request,sat_devolucion
El trámite es sencillo: llame al  con su contraseña del portal SAT para iniciar la transferencia.,fraudulent,des_fraud,1,5,recovery_offer,sat_devolucion
"Buen día, le contactamos de Correos de México respecto a un envío pendiente.",fraudulent,des_fraud,2,0,contact_init,paqueteria_falsa
El paquete no pudo ser entregado y ahora está bloqueado por aduana con un cargo de $280 de impuesto.,fraudulent,des_fraud,2,1,problem_announce,paqueteria_falsa
Tiene hoy mismo para evitar cargos adicionales para liquidar los $280 de impuesto antes de que el paquete se remate.,fraudulent,des_fraud,2,2,urgency_inject,paqueteria_falsa
Proporcione los datos de su tarjeta para el pago de $280 de impuesto de almacenaje.,fraudulent,des_fraud,2,3,credential_request,paqueteria_falsa
"Los cargos de almacenaje aumentan cada día, ya suma $280 de impuesto y sigue creciendo.",fraudulent,des_fraud,2,4,threat_escalate,paqueteria_falsa
El pago de $280 de impuesto en efectivo en cualquier OXXO usando la referencia que le damos libera el paquete.,fraudulent,des_fraud,2,5,recovery_offer,paqueteria_falsa
Le informamos que resultó ganador de nuestro concurso mensual en Suburbia.,fraudulent,des_fraud,3,0,contact_init,premio_oxxo
Tenemos respaldo legal del concurso en Suburbia para garantizar la entrega de premios.,fraudulent,des_fraud,3,1,trust_build,premio_oxxo
Solo tiene el premio vence esta semana para verificar su participación y reclamar su premio.,fraudulent,des_fraud,3,2,urgency_inject,premio_oxxo
Ingrese su CURP en walmart-sorteo.mx para que podamos procesar la entrega del premio.,fraudulent,des_fraud,3,3,credential_request,premio_oxxo
Llame al 800 555 6789 para confirmar sus datos y programar la entrega del premio.,fraudulent,des_fraud,3,4,recovery_offer,premio_oxxo
Le contactamos del área de seguridad de Banorte.,fraudulent,des_fraud,4,0,contact_init,solicitud_otp
Nuestro sistema de Banorte detectó un intento de acceso desde un dispositivo no reconocido.,fraudulent,des_fraud,4,1,trust_build,solicitud_otp
Detectamos que su actualización de datos está siendo utilizado desde un dispositivo desconocido.,fraudulent,des_fraud,4,2,problem_announce,solicitud_otp
